feeder_id,branch_location_id,mv_line_id,feeder_name,centroid_lat,centroid_lon,length_km,synthetic_capacity_kw,synthetic_reverse_flow_limit_kw,synthetic_base_demand_kw,synthetic_pv_capacity_kwp,area_type,oze_density_index,is_synthetic,source_note
gliwice_f031,gliwice,osm_way_571795007,GLW-DEMO-F031,50.299931,18.553303,3.877,2278.8,291.9,670.3,1349.3,mixed,0.676,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f032,gliwice,osm_way_650052681,GLW-DEMO-F032,50.266127,18.617284,3.634,2217.5,240.8,622.0,1142.5,mixed,0.712,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f033,gliwice,osm_way_693787912,GLW-DEMO-F033,50.377535,18.634960,3.407,2385.2,285.7,676.1,1084.5,mixed,0.683,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f034,gliwice,osm_way_693787913,GLW-DEMO-F034,50.369491,18.644565,1.313,3086.5,298.2,716.2,984.9,mixed,0.668,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f035,gliwice,osm_way_787192657,GLW-DEMO-F035,50.363761,18.687733,1.696,3011.0,217.8,852.2,1031.4,mixed,0.714,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f036,gliwice,osm_way_787192658,GLW-DEMO-F036,50.351808,18.704312,0.843,2500.6,320.9,816.3,1404.7,mixed,0.76,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f037,gliwice,osm_way_817150499,GLW-DEMO-F037,50.227345,18.723210,0.624,2262.3,269.0,600.5,1093.8,residential,0.81,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f038,gliwice,osm_way_889646446,GLW-DEMO-F038,50.378365,18.594976,1.882,2615.5,299.4,634.4,1186.9,mixed,0.718,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f039,gliwice,osm_way_889646447,GLW-DEMO-F039,50.381882,18.606641,3.525,2785.7,295.4,675.7,1441.3,mixed,0.738,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f040,gliwice,osm_way_889651997,GLW-DEMO-F040,50.370950,18.605738,1.972,2308.5,310.3,630.8,1082.9,mixed,0.651,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f041,gliwice,osm_way_889652006,GLW-DEMO-F041,50.368936,18.615435,0.389,2177.2,293.7,504.9,891.6,residential,0.785,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f042,gliwice,osm_way_889720719,GLW-DEMO-F042,50.367666,18.606128,0.014,2220.8,360.8,642.8,1013.4,residential,0.71,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f043,gliwice,osm_way_905775575,GLW-DEMO-F043,50.357799,18.568610,1.064,2391.3,381.8,639.0,813.6,residential,0.682,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f044,gliwice,osm_way_905775576,GLW-DEMO-F044,50.361404,18.557068,1.015,1884.6,300.8,468.8,943.6,residential,0.684,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f045,gliwice,osm_way_905775577,GLW-DEMO-F045,50.363649,18.550475,0.678,2530.6,290.8,503.8,878.5,residential,0.719,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f046,gliwice,osm_way_905779055,GLW-DEMO-F046,50.353936,18.572755,1.412,2222.7,341.1,528.4,1056.2,residential,0.768,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f047,gliwice,osm_way_907715056,GLW-DEMO-F047,50.343802,18.598881,5.832,1759.4,228.7,379.4,817.3,rural,0.868,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f048,gliwice,osm_way_925628669,GLW-DEMO-F048,50.373265,18.693148,1.818,3044.5,244.9,704.3,1317.7,mixed,0.716,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f049,gliwice,osm_way_925628670,GLW-DEMO-F049,50.378489,18.685325,0.453,1921.9,253.8,495.9,946.5,residential,0.8,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f050,gliwice,osm_way_925628672,GLW-DEMO-F050,50.381765,18.666200,4.045,2837.3,209.7,755.3,1420.5,mixed,0.601,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f051,gliwice,osm_way_925628691,GLW-DEMO-F051,50.359808,18.704029,3.320,2430.0,280.9,780.0,1146.4,mixed,0.714,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f052,gliwice,osm_way_925644917,GLW-DEMO-F052,50.372426,18.707455,0.201,2357.2,302.6,516.4,751.1,residential,0.715,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f053,gliwice,osm_way_925644918,GLW-DEMO-F053,50.373056,18.704659,0.232,1881.6,346.2,432.6,1124.2,residential,0.825,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f054,gliwice,osm_way_925644919,GLW-DEMO-F054,50.369735,18.719759,1.688,2891.4,283.3,814.9,1028.7,mixed,0.661,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f055,gliwice,osm_way_953825387,GLW-DEMO-F055,50.322873,18.561015,1.754,2795.2,285.9,748.6,1008.0,mixed,0.689,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f056,gliwice,osm_way_953825388,GLW-DEMO-F056,50.318658,18.561406,0.175,2094.1,255.7,584.6,892.3,residential,0.638,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f057,gliwice,osm_way_1065500297,GLW-DEMO-F057,50.385743,18.659976,4.400,2568.8,243.1,768.1,1050.0,mixed,0.632,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f058,gliwice,osm_way_1065500305,GLW-DEMO-F058,50.393500,18.728335,8.918,1614.3,244.7,318.7,854.0,rural,0.806,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f059,gliwice,osm_way_1065500307,GLW-DEMO-F059,50.350746,18.722618,0.053,1940.1,261.4,603.8,974.6,residential,0.792,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f060,gliwice,osm_way_1065500308,GLW-DEMO-F060,50.350052,18.726461,0.286,2431.8,395.3,464.2,912.0,residential,0.654,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f061,gliwice,osm_way_1065500309,GLW-DEMO-F061,50.350293,18.724371,0.109,2476.9,320.4,628.0,1051.4,residential,0.755,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f062,gliwice,osm_way_1065500310,GLW-DEMO-F062,50.345228,18.734226,1.633,3060.3,259.6,732.9,912.2,mixed,0.657,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f063,gliwice,osm_way_1065500311,GLW-DEMO-F063,50.343998,18.751811,0.948,2460.0,234.9,868.5,872.3,mixed,0.723,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f064,gliwice,osm_way_1065500312,GLW-DEMO-F064,50.339948,18.750430,1.517,2275.7,256.6,747.9,1191.5,mixed,0.731,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f065,gliwice,osm_way_1065500313,GLW-DEMO-F065,50.350172,18.718969,1.496,2673.0,222.0,672.7,1009.6,mixed,0.583,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f066,gliwice,osm_way_1065500314,GLW-DEMO-F066,50.357393,18.695267,0.976,2607.0,215.1,601.6,1163.5,mixed,0.739,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f067,gliwice,osm_way_1065500315,GLW-DEMO-F067,50.355342,18.688933,0.238,2130.5,334.0,609.7,786.0,residential,0.776,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f068,gliwice,osm_way_1065500318,GLW-DEMO-F068,50.376706,18.545774,9.536,1598.1,191.1,298.1,953.3,rural,0.728,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f069,gliwice,osm_way_1065500322,GLW-DEMO-F069,50.385247,18.516960,13.740,1412.0,216.0,370.2,704.5,rural,0.781,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f070,gliwice,osm_way_1101399657,GLW-DEMO-F070,50.375810,18.617497,2.404,2827.6,223.6,834.2,1095.4,mixed,0.626,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f071,gliwice,osm_way_1101470469,GLW-DEMO-F071,50.288505,18.703900,0.002,2595.8,238.3,510.6,1082.5,residential,0.638,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f072,gliwice,osm_way_1101470470,GLW-DEMO-F072,50.289107,18.703792,0.201,2117.8,310.8,625.5,908.1,residential,0.637,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f073,gliwice,osm_way_1101470471,GLW-DEMO-F073,50.289981,18.704671,0.111,2168.3,407.3,518.1,1161.1,residential,0.641,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f074,gliwice,osm_way_1101470472,GLW-DEMO-F074,50.290180,18.705127,0.020,2197.9,325.6,601.0,1214.0,residential,0.791,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f075,gliwice,osm_way_1101470473,GLW-DEMO-F075,50.290187,18.704971,0.003,1895.8,233.8,433.9,1162.1,residential,0.749,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f076,gliwice,osm_way_1156650218,GLW-DEMO-F076,50.254709,18.561655,0.656,2544.3,387.1,450.4,792.6,residential,0.687,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f077,gliwice,osm_way_1159393208,GLW-DEMO-F077,50.255953,18.575340,1.189,2000.4,396.0,492.5,1039.1,residential,0.779,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f078,gliwice,osm_way_1159396428,GLW-DEMO-F078,50.263004,18.573314,1.632,2469.1,311.3,869.5,1202.6,mixed,0.734,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f079,gliwice,osm_way_1159691163,GLW-DEMO-F079,50.264015,18.563579,0.361,2287.3,253.6,553.5,1229.2,residential,0.619,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f080,gliwice,osm_way_1159691164,GLW-DEMO-F080,50.261949,18.564478,0.251,1968.3,357.9,638.3,1214.7,residential,0.732,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f081,gliwice,osm_way_1159694474,GLW-DEMO-F081,50.260422,18.562476,0.557,2172.8,291.3,584.9,924.1,residential,0.78,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f082,gliwice,osm_way_1159694476,GLW-DEMO-F082,50.259810,18.562667,0.014,2288.1,401.1,460.8,889.6,residential,0.646,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f083,gliwice,osm_way_1175121575,GLW-DEMO-F083,50.351962,18.710183,0.129,2105.4,263.6,466.6,1042.8,residential,0.753,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f084,gliwice,osm_way_1257595651,GLW-DEMO-F084,50.238796,18.754775,0.925,3093.8,208.1,698.0,1340.4,mixed,0.771,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f085,gliwice,osm_way_1257595652,GLW-DEMO-F085,50.240000,18.761462,3.217,2882.6,251.1,604.3,853.2,mixed,0.78,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f086,gliwice,osm_way_1257595653,GLW-DEMO-F086,50.241685,18.729171,8.462,1769.6,200.9,282.7,949.9,rural,0.708,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f087,gliwice,osm_way_1257595654,GLW-DEMO-F087,50.252046,18.755067,1.334,2211.3,190.9,608.7,1350.9,mixed,0.606,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f088,gliwice,osm_way_1257595655,GLW-DEMO-F088,50.245367,18.753111,0.025,2377.8,271.0,553.8,1077.7,residential,0.824,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f089,gliwice,osm_way_1257595656,GLW-DEMO-F089,50.243485,18.746255,0.053,2277.8,405.1,512.9,814.1,residential,0.632,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f090,gliwice,osm_way_1257595657,GLW-DEMO-F090,50.241470,18.747212,0.132,2289.6,351.4,552.7,1259.8,residential,0.625,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f091,gliwice,osm_way_1257595658,GLW-DEMO-F091,50.239179,18.772514,0.819,2606.8,240.6,701.6,1423.3,mixed,0.663,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f092,gliwice,osm_way_1257595659,GLW-DEMO-F092,50.233501,18.796081,3.878,2337.0,319.9,827.5,1447.2,mixed,0.682,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f093,gliwice,osm_way_1257595660,GLW-DEMO-F093,50.243675,18.776941,1.127,2912.6,206.2,771.6,1076.7,mixed,0.737,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f094,gliwice,osm_way_1257595661,GLW-DEMO-F094,50.233959,18.777142,0.243,2403.3,236.0,480.0,1248.1,residential,0.733,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f095,gliwice,osm_way_1257595662,GLW-DEMO-F095,50.235513,18.771131,0.247,2292.1,295.7,421.5,858.8,residential,0.639,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f096,gliwice,osm_way_1257595663,GLW-DEMO-F096,50.238258,18.768766,0.310,2553.1,369.1,521.6,865.8,residential,0.734,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f097,gliwice,osm_way_1257595664,GLW-DEMO-F097,50.226449,18.775917,2.817,3000.5,713.6,1394.7,1379.5,industrial,0.575,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f098,gliwice,osm_way_1257595665,GLW-DEMO-F098,50.233133,18.768937,0.025,2607.5,409.2,612.5,871.7,residential,0.644,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f099,gliwice,osm_way_1257595666,GLW-DEMO-F099,50.235720,18.765649,0.332,2600.2,315.0,500.1,750.2,residential,0.729,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f100,gliwice,osm_way_1257595667,GLW-DEMO-F100,50.239811,18.761938,0.173,1923.7,251.4,638.6,1149.8,residential,0.705,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f101,gliwice,osm_way_1257595668,GLW-DEMO-F101,50.239920,18.761682,0.183,2147.8,404.9,578.1,862.3,residential,0.63,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f102,gliwice,osm_way_1257595669,GLW-DEMO-F102,50.221433,18.727230,0.229,2062.7,352.8,565.8,1186.7,residential,0.755,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f103,gliwice,osm_way_1257595670,GLW-DEMO-F103,50.220172,18.721975,1.170,2442.1,391.4,462.6,891.6,residential,0.628,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f104,gliwice,osm_way_1271286027,GLW-DEMO-F104,50.353482,18.781726,1.519,3683.9,1123.7,1338.4,1342.1,industrial,0.506,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f105,gliwice,osm_way_1271286028,GLW-DEMO-F105,50.353601,18.781812,1.526,2601.5,183.6,765.3,1326.1,mixed,0.64,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f106,gliwice,osm_way_1271286029,GLW-DEMO-F106,50.349810,18.794189,0.286,2431.3,324.4,543.9,1012.1,residential,0.724,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f107,gliwice,osm_way_1271286030,GLW-DEMO-F107,50.350696,18.791188,0.008,2321.1,391.4,451.1,831.9,residential,0.74,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f108,gliwice,osm_way_1271286031,GLW-DEMO-F108,50.350765,18.791250,0.022,2300.0,323.4,649.5,915.4,residential,0.677,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f109,gliwice,osm_way_1271286032,GLW-DEMO-F109,50.349675,18.794835,0.003,2457.3,233.5,630.3,769.7,residential,0.818,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f110,gliwice,osm_way_1271286033,GLW-DEMO-F110,50.349775,18.794905,0.018,1946.2,285.3,462.3,1067.8,residential,0.666,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f111,gliwice,osm_way_1370661597,GLW-DEMO-F111,50.211584,18.724765,4.251,3628.1,1123.2,1004.7,1142.8,industrial,0.542,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f112,gliwice,osm_way_1370690791,GLW-DEMO-F112,50.255452,18.710182,0.148,2410.5,263.8,607.4,806.8,residential,0.692,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f113,gliwice,osm_way_1370690793,GLW-DEMO-F113,50.256389,18.710357,0.106,2159.2,393.9,439.9,869.3,residential,0.64,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f114,gliwice,osm_way_1370690794,GLW-DEMO-F114,50.257069,18.707306,1.301,1991.4,250.8,623.3,803.6,residential,0.788,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f115,gliwice,osm_way_1370690795,GLW-DEMO-F115,50.256248,18.717652,0.177,2404.2,359.6,565.7,764.5,residential,0.621,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f116,gliwice,osm_way_1370690796,GLW-DEMO-F116,50.255596,18.718388,0.337,2638.4,394.8,469.9,1216.2,residential,0.722,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f117,gliwice,osm_way_1370690797,GLW-DEMO-F117,50.232065,18.730814,0.302,2353.8,347.3,424.7,785.7,residential,0.618,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f118,gliwice,osm_way_1370690801,GLW-DEMO-F118,50.222646,18.705299,0.097,2058.1,397.5,629.8,1084.4,residential,0.778,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f119,gliwice,osm_way_1370690802,GLW-DEMO-F119,50.222711,18.702094,0.900,2348.2,277.8,836.2,913.1,mixed,0.732,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f120,gliwice,osm_way_1370690803,GLW-DEMO-F120,50.226240,18.715400,0.233,2450.4,273.0,488.0,812.7,residential,0.63,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f121,gliwice,osm_way_1370690804,GLW-DEMO-F121,50.228082,18.735315,0.335,2369.6,279.5,599.4,1053.6,residential,0.749,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f122,gliwice,osm_way_1370690805,GLW-DEMO-F122,50.226099,18.741075,0.036,2088.4,340.4,594.5,954.9,residential,0.782,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f123,gliwice,osm_way_1370690806,GLW-DEMO-F123,50.228596,18.736582,1.766,2686.2,1137.4,1150.7,1593.9,industrial,0.459,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f124,gliwice,osm_way_1370690807,GLW-DEMO-F124,50.241496,18.740428,0.525,2157.8,359.7,632.5,916.9,residential,0.813,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f125,gliwice,osm_way_1370690808,GLW-DEMO-F125,50.238035,18.735125,0.380,2103.8,338.6,634.9,1190.0,residential,0.766,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f126,gliwice,osm_way_1370690809,GLW-DEMO-F126,50.246317,18.731930,0.209,2195.7,235.6,492.2,1272.8,residential,0.71,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f127,gliwice,osm_way_1370690810,GLW-DEMO-F127,50.227607,18.696310,0.093,2132.4,259.2,581.0,1069.5,residential,0.643,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f128,gliwice,osm_way_1370690811,GLW-DEMO-F128,50.256726,18.720864,0.024,2040.4,290.2,455.7,788.3,residential,0.708,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f129,gliwice,osm_way_1370690812,GLW-DEMO-F129,50.256573,18.720865,0.024,2148.8,350.8,574.8,840.2,residential,0.654,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f130,gliwice,osm_way_1370690817,GLW-DEMO-F130,50.255092,18.731169,0.033,2472.8,301.2,629.0,1205.0,residential,0.635,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f131,gliwice,osm_way_1370690818,GLW-DEMO-F131,50.251611,18.733706,0.551,2613.0,369.7,647.1,1114.9,residential,0.641,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f132,gliwice,osm_way_1370690820,GLW-DEMO-F132,50.253347,18.723198,0.108,2481.0,322.7,423.7,1243.8,residential,0.718,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f133,gliwice,osm_way_1370690821,GLW-DEMO-F133,50.256155,18.733018,0.107,2272.0,399.3,595.8,1084.3,residential,0.75,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f134,gliwice,osm_way_1370690822,GLW-DEMO-F134,50.253135,18.726025,0.221,2361.2,329.0,585.0,1269.8,residential,0.773,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f135,gliwice,osm_way_1370690823,GLW-DEMO-F135,50.249706,18.743735,0.494,2417.6,397.5,575.3,795.1,residential,0.665,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f136,gliwice,osm_way_1370690826,GLW-DEMO-F136,50.225051,18.773718,0.863,2130.2,291.1,447.8,926.7,residential,0.621,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f137,gliwice,osm_way_1370690827,GLW-DEMO-F137,50.228612,18.785391,0.441,2229.3,241.0,595.1,1158.4,residential,0.785,true,OSM geometry proxy; electrical parameters synthetic for POC
gliwice_f138,gliwice,osm_way_1370690828,GLW-DEMO-F138,50.230012,18.783856,0.925,2545.1,255.7,601.8,1407.1,mixed,0.605,true,OSM geometry proxy; electrical parameters synthetic for POC
